"command_id","title","category","trigger","required_context","output_type","guardrail","prompt_template"
"meeting-prep","Advisor Meeting Prep","client_workflow","Before a prospect/client meeting","profile, proposal, review queue","meeting brief","Do not imply suitability or personalized recommendation approval.","Prepare an advisor meeting brief for {profile_name}. Use the current proposal return {proposal_return_pct}% and alpha {proposal_alpha_pct}%. Cover objective, risk profile, model allocation rationale, questions to ask, and items requiring human review. Include this disclaimer: research-only, no personalized advice."
"proposal-draft","Model Proposal Draft","proposal","After selecting a policy profile","profile, allocations, model performance","proposal narrative","State that this is an internal research proposal draft only.","Draft an internal model proposal for {profile_name}. Explain allocations: {allocations}. Explain policy warnings: {policy_warnings}. Use plain language and separate portfolio rationale from compliance limitations."
"portfolio-commentary","Portfolio Commentary","reporting","After snapshot generation","model basket performance, candidates, market context","client-ready commentary draft","Do not market simulated results as live audited performance.","Write portfolio commentary for the AI Wealth platform from {from_date} to {to_date}. Mention top model baskets, underperforming models, risk-review candidates, and the need for human approval before external use."
"review-queue","Advisor Review Queue Triage","supervision","Daily or before publishing reports","review queue, data flags, risk flags","prioritized review list","Data-review items must be resolved before external use.","Prioritize the advisor review queue. High priority tasks: {high_priority_tasks}. Medium priority tasks: {medium_priority_tasks}. Return actions, owner, evidence needed, and decision status."
"data-quality-review","Market Data Quality Review","supervision","When candidates show extreme moves","data quality flags, tickers, price changes","data-quality checklist","Do not approve candidates with unresolved split/bad-price flags.","Review data-quality issues for tickers: {data_review_tickers}. For each ticker, list likely issue, validation steps, whether it can remain in reports, and what evidence is required."
"compliance-review","AI Marketing Compliance Review","compliance","Before publishing website/report/pitch copy","marketing copy, AI claims, CSA guardrails","compliance notes","Flag guaranteed-return, autonomous-advice, and unregistered-advice language.","Review AI wealth marketing language against these guardrails: {governance_checklist}. Rewrite claims to be CFA-led, human-supervised, AI-assisted, research-only, and not personalized advice."
"fact-sheet","Model Fact Sheet Generator","reporting","Monthly or after model changes","basket performance, holdings, benchmark","model fact sheet","Include methodology, assumptions, risks, and simulation limits.","Create a model fact sheet for {basket_name}. Include objective, benchmark, holdings count, return, alpha, risks, ideal policy profile, methodology, and simulation limitations."
"next-best-action","Next Best Action Engine","advisor_os","Daily workflow review","signals, proposals, review queue","action queue","Actions are workflow tasks, not trade instructions.","Generate next-best actions for the AI Wealth advisor console using top candidates {top_candidates}, ready profiles {ready_profiles}, and review tasks {review_task_count}. Group actions by research, client workflow, supervision, and reporting."
"client-follow-up","Client Follow-Up Draft","client_workflow","After a meeting or proposal review","profile, proposal, open questions","follow-up email draft","Do not include specific investment recommendations unless reviewed by a registered advisor.","Draft a concise follow-up email for {profile_name}. Summarize discussion points, documents needed, model research under review, and next steps. Keep it educational and compliance-safe."
"governance-log","AI Governance Log Entry","governance","After every snapshot/run","window, command, inputs, outputs, reviewer","governance record","Record assumptions and unresolved risks.","Create a governance log entry for the AI Wealth run from {from_date} to {to_date}. Include data sources, generated outputs, unresolved review tasks, human reviewer fields, and publication decision."
