ticker,company,current_price_usd,price_band,jan_2_2026_price_usd,price_change_pct,approx_pre_spike_market_cap_usd_m,approx_current_market_cap_usd_m,approx_pre_spike_ps,approx_current_ps,industry,theme,fit,valuation_note
POET,POET Technologies,12.29,strict,7.16,71.65,547.79,1625.85,13223.05,1512.61,Photonics and optical engines,AI data-center interconnect,direct,"Commercial revenue remains very small; P/S is mathematically valid but not decision-useful"
BTDR,Bitdeer Technologies Group,17.49,strict,11.55,51.43,2221.27,4119.81,6.35,11.78,Data centers AI cloud and Bitcoin mining,Power-backed compute infrastructure,direct,"Mixed business: Bitcoin economics and AI-cloud execution both matter"
CLSK,CleanSpark,18.29,strict,11.55,58.35,2951.99,4693.37,3.85,6.12,Data-center development and Bitcoin mining,Power land and AI-HPC applicable assets,direct-adjacent,"Mixed business: current revenue is still dominated by Bitcoin mining"
FLNC,Fluence Energy,18.88,strict,23.01,-17.95,2998.37,2502.41,1.33,1.11,Grid-scale energy storage,Power reliability for data-center and grid growth,adjacent,"Established revenue base; not a pure-play AI company"
SHLS,Shoals Technologies Group,12.45,strict,9.09,36.96,1533.94,2086.06,3.84,4.39,Electrical balance-of-system equipment,Grid and solar electrical infrastructure,adjacent,"Indirect AI exposure through power buildout rather than data-center sales"
MNTS,Momentus,16.85,strict,5.74,193.55,138.61,168.37,65.57,151.69,Commercial space infrastructure,Satellite buses transportation and in-orbit services,direct-space,"Early-stage and highly speculative; revenue base is small"
SERV,Serve Robotics,9.35,near-band,11.83,-20.96,881.14,723.44,486.15,272.89,Autonomous delivery robotics,Physical AI,direct-physical-ai,"Early-stage; P/S is not decision-useful"
SATL,Satellogic,9.51,near-band,1.96,385.20,53.50,259.60,4.16,14.66,Earth-observation satellites,Space data defense and geospatial intelligence,direct-space,"Post-spike multiple expanded materially; execution and dilution matter"
STEM,Stem,9.72,near-band,16.96,-42.69,142.30,87.06,0.98,0.56,Energy-storage software and services,Grid optimization,adjacent,"Low multiple does not remove turnaround risk"
EOSE,Eos Energy Enterprises,8.43,near-band,12.97,-35.00,3738.51,2862.10,239.56,25.06,Long-duration energy storage,Grid reliability and storage manufacturing,adjacent,"Revenue is ramping from a small base; execution and financing risk remain high"
