"profile_id","basket_id","target_weight","allocation_role","rationale"
"capital-preservation","ai-wealth-defensive-income","55","core_income","Defensive income sleeve for lower-volatility Canadian wealth profile."
"capital-preservation","ai-wealth-core","35","diversified_core","Diversified global equity and cash/gold mix."
"capital-preservation","ai-wealth-growth","10","growth_satellite","Small growth sleeve capped by conservative policy."
"balanced-growth","ai-wealth-core","55","diversified_core","Primary diversified model sleeve."
"balanced-growth","ai-wealth-growth","30","growth_satellite","AI/platform growth sleeve within medium-risk policy."
"balanced-growth","ai-wealth-defensive-income","15","income_buffer","Income and defensive balance."
"ai-growth","ai-wealth-growth","55","growth_core","Main AI/platform growth sleeve."
"ai-growth","ai-wealth-core","25","diversified_core","Diversification ballast."
"ai-growth","ai-wealth-tactical-ai","15","tactical_ai","Human-reviewed tactical AI sleeve."
"ai-growth","ai-wealth-defensive-income","5","income_buffer","Small defensive buffer."
"opportunistic-ai","ai-wealth-tactical-ai","45","tactical_ai","Research-stage concentrated AI sleeve requiring human approval."
"opportunistic-ai","ai-wealth-growth","35","growth_core","AI/platform growth core."
"opportunistic-ai","ai-wealth-core","15","diversified_core","Diversification ballast."
"opportunistic-ai","crypto-proxy","5","alternative_satellite","High-risk alternative sleeve for review only."
